experiment,graph_type,label,nodes,edges,k,k_bfs_diameter,k_bfs_time,k_bfs_pre_time,k_bfs_search_time,k_bfs_bfs_passes,k_bfs_vertex_visits,k_bfs_edge_checks,k_bfs_peak_mb,tk_diameter,tk_time,tk_pre_time,tk_search_time,tk_bfs_passes,tk_vertex_visits,tk_edge_checks,tk_iterations,tk_peak_mb,exact_diameter,k_bfs_abs_error,tk_abs_error,density
density_sweep,random_sparse,p=0.2,120,1381,2,3,0.008458566007902846,6.456999108195305e-05,0.008362078020581976,2,342,7944,0.00788116455078125,3,0.049794816004578024,0.0005552821094170213,0.04897195898229256,32,3840,88384,32,0.0052032470703125,3,0,0,0.19341736694677872
capacity_distribution,random_sparse,low,120,129,2,13,0.001588809012901038,7.50150065869093e-05,0.0014780100318603218,2,400,979,0.00783538818359375,13,0.0022146159899421036,0.00036150094820186496,0.001699562038993463,20,2100,5160,20,0.0052032470703125,13,0,0,0.018067226890756304
capacity_distribution,random_sparse,medium,120,379,2,5,0.002783507021376863,5.081098061054945e-05,0.002701135992538184,2,388,2438,0.00772857666015625,5,0.016162232001079246,0.0006669979775324464,0.015184181043878198,40,4760,30320,40,0.0052032470703125,5,0,0,0.0530812324929972
capacity_distribution,random_sparse,high,120,660,2,4,0.004589756019413471,5.768198752775788e-05,0.004499998001847416,2,383,4187,0.00772857666015625,4,0.021199464972596616,0.0004978011129423976,0.020466974936425686,29,3480,38280,29,0.0052032470703125,4,0,0,0.09243697478991597
bipartite,bipartite,n=50,50,51,2,9,0.0005647820071317255,5.239699385128915e-05,0.00048783599049784243,2,172,392,0.0032806396484375,9,0.0012276640045456588,0.0002396000490989536,0.0008342870569322258,23,989,2254,23,0.00247955322265625,9,0,0,0.04163265306122449
bipartite,bipartite,n=100,100,238,2,5,0.0017746149969752878,5.729298572987318e-05,0.0016874720167834312,2,330,1569,0.00620269775390625,6,0.009350165986688808,0.0006065270572435111,0.00843647593865171,41,4100,19516,41,0.0045928955078125,6,1,0,0.04808080808080808
bipartite,bipartite,n=150,150,514,2,5,0.004115219984669238,5.547003820538521e-05,0.004022486973553896,2,504,3456,0.00911712646484375,5,0.05566028898465447,0.0017551940109115094,0.053120526048587635,95,14250,97660,95,0.006622314453125,5,0,0,0.04599552572706935
grid,grid,10x10,100,180,2,18,0.002139692020136863,6.826501339673996e-05,0.0020371949940454215,2,390,1402,0.00655364990234375,18,0.0010144109837710857,0.00010753891547210515,0.0008535930246580392,6,600,2160,6,0.0045928955078125,18,0,0,0.03636363636363636
grid,grid,15x15,225,420,2,28,0.00576001702575013,6.51789887342602e-05,0.005655411019688472,2,885,3302,0.01282501220703125,28,0.0021802959963679314,0.00013424197095446289,0.0019973339803982526,4,900,3360,4,0.0084075927734375,28,0,0,0.016666666666666666
grid,grid,20x20,400,760,2,38,0.023923881992232054,0.00023346600937657058,0.02345555301872082,2,1600,6080,0.027099609375,38,0.008809430000837892,0.002024160959990695,0.006698295037494972,6,2400,9120,6,0.0138397216796875,38,0,0,0.009523809523809525
